	gse
938.0	GSE139404
939.0	GSE139404
940.0	GSE139404
941.0	GSE139404
942.0	GSE139404
943.0	GSE139404
944.0	GSE139404
945.0	GSE139404
946.0	GSE139404
947.0	GSE139404
948.0	GSE139404
949.0	GSE139404
950.0	GSE139404
951.0	GSE139404
952.0	GSE139404
953.0	GSE139404
954.0	GSE139404
955.0	GSE139404
956.0	GSE139404
957.0	GSE139404
958.0	GSE139404
959.0	GSE139404
960.0	GSE139404
961.0	GSE139404
962.0	GSE139404
963.0	GSE139404
964.0	GSE139404
965.0	GSE139404
966.0	GSE139404
967.0	GSE139404
968.0	GSE139404
969.0	GSE139404
970.0	GSE139404
971.0	GSE139404
972.0	GSE139404
973.0	GSE139404
974.0	GSE139404
975.0	GSE139404
976.0	GSE139404
977.0	GSE139404
978.0	GSE139404
979.0	GSE139404
980.0	GSE139404
981.0	GSE139404
982.0	GSE139404
983.0	GSE139404
984.0	GSE139404
985.0	GSE139404
986.0	GSE140038
987.0	GSE140038
988.0	GSE140038
989.0	GSE140038
990.0	GSE140038
991.0	GSE140038
992.0	GSE140038
993.0	GSE140038
994.0	GSE140038
995.0	GSE140038
996.0	GSE140038
997.0	GSE140038
998.0	GSE140038
999.0	GSE140038
1000.0	GSE140038
1001.0	GSE140038
1002.0	GSE140038
1003.0	GSE140038
1004.0	GSE140038
1005.0	GSE140038
1006.0	GSE140038
1007.0	GSE140038
1008.0	GSE140038
1009.0	GSE140038
1010.0	GSE140038
1011.0	GSE140038
1012.0	GSE140038
1013.0	GSE140038
1014.0	GSE140038
1015.0	GSE140038
1016.0	GSE140038
1017.0	GSE140038
1018.0	GSE140038
1019.0	GSE140038
1020.0	GSE140038
1021.0	GSE140038
1022.0	GSE140038
1023.0	GSE140038
1024.0	GSE140038
1025.0	GSE140038
1026.0	GSE140038
1027.0	GSE140038
1028.0	GSE140038
1029.0	GSE140038
1030.0	GSE140038
1031.0	GSE140038
1032.0	GSE140038
1033.0	GSE140038
1034.0	GSE140038
1035.0	GSE140038
1036.0	GSE140038
1037.0	GSE140038
1038.0	GSE140038
1039.0	GSE140038
1040.0	GSE140038
1041.0	GSE140038
1042.0	GSE140038
1043.0	GSE140038
1044.0	GSE140038
1045.0	GSE140038
1046.0	GSE140038
1047.0	GSE140038
1048.0	GSE140038
1049.0	GSE140038
1050.0	GSE140038
1051.0	GSE140038
1052.0	GSE140038
1053.0	GSE140038
1054.0	GSE140038
1055.0	GSE140038
1056.0	GSE140038
1057.0	GSE140038
1058.0	GSE140038
1059.0	GSE140038
1060.0	GSE140038
1061.0	GSE140038
1062.0	GSE140038
1063.0	GSE140038
1064.0	GSE140038
1065.0	GSE140038
1066.0	GSE140038
1067.0	GSE140038
1068.0	GSE140038
1069.0	GSE140038
1070.0	GSE140038
1071.0	GSE140038
1072.0	GSE140038
1073.0	GSE140038
1074.0	GSE140038
1075.0	GSE140038
1076.0	GSE140038
1077.0	GSE140038
1078.0	GSE140038
1079.0	GSE140038
1080.0	GSE140038
1081.0	GSE140038
1082.0	GSE140038
1083.0	GSE140038
1084.0	GSE140038
1085.0	GSE140038
1086.0	GSE140038
1087.0	GSE140038
1088.0	GSE140038
1089.0	GSE140038
1090.0	GSE140038
1091.0	GSE140038
1092.0	GSE140038
1093.0	GSE140038
1094.0	GSE140038
1095.0	GSE140038
1096.0	GSE140038
1097.0	GSE140038
1098.0	GSE140038
1099.0	GSE140038
1100.0	GSE140038
1101.0	GSE140038
1102.0	GSE140038
1103.0	GSE140038
1104.0	GSE140038
1105.0	GSE140038
1106.0	GSE140038
1107.0	GSE140038
1108.0	GSE140038
1109.0	GSE140038
1110.0	GSE140038
1111.0	GSE140038
1112.0	GSE140038
1113.0	GSE140038
1114.0	GSE140038
1115.0	GSE140038
1116.0	GSE140038
1117.0	GSE140038
1118.0	GSE140038
1119.0	GSE140038
1120.0	GSE140038
1121.0	GSE140038
1122.0	GSE140038
1123.0	GSE140038
1124.0	GSE140038
1125.0	GSE140038
1126.0	GSE140038
1127.0	GSE140038
1128.0	GSE140038
1129.0	GSE140038
1130.0	GSE140204
1131.0	GSE140204
1132.0	GSE140204
1133.0	GSE140204
1134.0	GSE140204
1135.0	GSE140204
1136.0	GSE140204
1137.0	GSE140204
1138.0	GSE140204
1139.0	GSE140204
1140.0	GSE140204
1141.0	GSE140204
1142.0	GSE140204
1143.0	GSE140204
1144.0	GSE140204
1145.0	GSE140204
1146.0	GSE140204
1147.0	GSE140204
1148.0	GSE140204
1149.0	GSE140204
1150.0	GSE140204
1151.0	GSE140204
1152.0	GSE140204
1153.0	GSE140204
1154.0	GSE140204
1155.0	GSE140800
1156.0	GSE140800
1157.0	GSE140800
1158.0	GSE140800
1159.0	GSE140800
1160.0	GSE140800
1161.0	GSE140800
1162.0	GSE140800
1163.0	GSE140800
1164.0	GSE140800
1165.0	GSE140800
1166.0	GSE140800
1167.0	GSE140800
1168.0	GSE140800
1169.0	GSE140800
1170.0	GSE140800
1171.0	GSE140800
1172.0	GSE140800
1173.0	GSE140800
1174.0	GSE140800
1175.0	GSE140800
1176.0	GSE140800
1177.0	GSE140800
1178.0	GSE140800
1179.0	GSE140800
1180.0	GSE140800
1181.0	GSE140800
1182.0	GSE140800
1183.0	GSE140800
1184.0	GSE140800
1185.0	GSE140800
1186.0	GSE140800
1187.0	GSE140800
1188.0	GSE140800
1189.0	GSE140800
1190.0	GSE140800
1191.0	GSE140800
1192.0	GSE140800
1193.0	GSE140800
1194.0	GSE140800
1195.0	GSE140800
1196.0	GSE140800
1197.0	GSE140800
1198.0	GSE140800
1199.0	GSE140800
1200.0	GSE140800
1201.0	GSE140800
1202.0	GSE140800
1203.0	GSE140800
1204.0	GSE140800
1205.0	GSE140800
1206.0	GSE140800
1207.0	GSE140800
1208.0	GSE140800
1209.0	GSE140800
1210.0	GSE140800
1211.0	GSE140800
1212.0	GSE140800
1213.0	GSE140800
1214.0	GSE140800
1215.0	GSE140800
1216.0	GSE140800
1217.0	GSE140800
1218.0	GSE140800
1219.0	GSE140800
1220.0	GSE140800
1221.0	GSE140800
1222.0	GSE140800
1223.0	GSE140800
1224.0	GSE140800
1225.0	GSE145156
1226.0	GSE145156
1227.0	GSE145156
1228.0	GSE145156
1229.0	GSE145156
1230.0	GSE145156
1231.0	GSE145156
1232.0	GSE145156
1233.0	GSE145156
1234.0	GSE145156
1235.0	GSE145156
1236.0	GSE145156
1237.0	GSE145156
1238.0	GSE145156
1239.0	GSE145156
1240.0	GSE145156
1241.0	GSE145156
1242.0	GSE145156
1243.0	GSE145156
1244.0	GSE145156
1245.0	GSE145156
1246.0	GSE145156
1247.0	GSE145156
1248.0	GSE145156
1249.0	GSE145156
1250.0	GSE145156
1251.0	GSE145156
1252.0	GSE145156
1253.0	GSE145156
1254.0	GSE145156
1255.0	GSE145156
1256.0	GSE145156
1257.0	GSE145156
1258.0	GSE145156
1259.0	GSE145156
1260.0	GSE145156
1261.0	GSE145156
1262.0	GSE145156
1263.0	GSE145156
1264.0	GSE145156
1265.0	GSE145156
1266.0	GSE145156
1267.0	GSE145156
1268.0	GSE145156
1269.0	GSE145156
1270.0	GSE145156
1271.0	GSE145156
1272.0	GSE145156
1273.0	GSE145156
1274.0	GSE145156
1275.0	GSE145156
1276.0	GSE145156
1277.0	GSE145156
1278.0	GSE145156
1279.0	GSE145156
1280.0	GSE145156
1281.0	GSE145156
1282.0	GSE145156
1283.0	GSE145156
1284.0	GSE145156
1285.0	GSE145156
1286.0	GSE145156
1287.0	GSE145156
1288.0	GSE145156
1289.0	GSE145156
1290.0	GSE145156
1291.0	GSE145156
